Description,2017,2018,2019,2020,2021,2022,state,county
Chain-type quantity indexes for real GDP ,100.000,101.351,99.520,95.215,96.014,101.783,Alaska,Nome Census Area
Current-dollar GDP (thousands of current dollars) ,447593,463910,466231,456743,474548,527971,Alaska,Nome Census Area
Real GDP (thousands of chained 2017 dollars) ,6669857,5875825,6012465,6188650,5662665,5116686,Alaska,North Slope Borough
Chain-type quantity indexes for real GDP ,100.000,88.095,90.144,92.785,84.899,76.714,Alaska,North Slope Borough
Current-dollar GDP (thousands of current dollars) ,6669857,6846658,5668620,4071477,7227735,10099154,Alaska,North Slope Borough
Real GDP (thousands of chained 2017 dollars) ,638056,628797,597631,633274,575193,568340,Alaska,Northwest Arctic Borough
Chain-type quantity indexes for real GDP ,100.000,98.549,93.664,99.251,90.148,89.074,Alaska,Northwest Arctic Borough
Current-dollar GDP (thousands of current dollars) ,638056,644852,620519,662675,670734,736679,Alaska,Northwest Arctic Borough
Real GDP (thousands of chained 2017 dollars) ,170550,177838,175770,167287,175079,160827,,Petersburg Borough
Chain-type quantity indexes for real GDP ,100.000,104.273,103.061,98.087,102.655,94.299,,Petersburg Borough
Current-dollar GDP (thousands of current dollars) ,170550,181542,183554,179034,194019,187459,,Petersburg Borough
Real GDP (thousands of chained 2017 dollars) ,241824,259028,259823,242922,238950,240661,,Prince of Wales-Hyder Census Area
Chain-type quantity indexes for real GDP ,100.000,107.114,107.443,100.454,98.811,99.519,,Prince of Wales-Hyder Census Area
Current-dollar GDP (thousands of current dollars) ,241824,265621,272266,260981,271696,292179,,Prince of Wales-Hyder Census Area
Real GDP (thousands of chained 2017 dollars) ,(NA),(NA),(NA),(NA),(NA),(NA),,Prince of Wales-Outer Ketchikan Census Area
Chain-type quantity indexes for real GDP ,(NA),(NA),(NA),(NA),(NA),(NA),,Prince of Wales-Outer Ketchikan Census Area
Current-dollar GDP (thousands of current dollars) ,(NA),(NA),(NA),(NA),(NA),(NA),,Prince of Wales-Outer Ketchikan Census Area
Real GDP (thousands of chained 2017 dollars) ,479694,500425,496709,434428,483863,508340,Alaska,Sitka City and Borough
Chain-type quantity indexes for real GDP ,100.000,104.322,103.547,90.564,100.869,105.972,Alaska,Sitka City and Borough
Current-dollar GDP (thousands of current dollars) ,479694,511699,521623,468119,540579,600014,Alaska,Sitka City and Borough
Real GDP (thousands of chained 2017 dollars) ,93466,97277,98720,61452,67838,73367,,Skagway Municipality
Chain-type quantity indexes for real GDP ,100.000,104.078,105.622,65.748,72.581,78.496,,Skagway Municipality
Current-dollar GDP (thousands of current dollars) ,93466,99553,104011,66786,77903,90220,,Skagway Municipality
Real GDP (thousands of chained 2017 dollars) ,(NA),(NA),(NA),(NA),(NA),(NA),,Skagway-Hoonah-Angoon Census Area
Chain-type quantity indexes for real GDP ,(NA),(NA),(NA),(NA),(NA),(NA),,Skagway-Hoonah-Angoon Census Area
Current-dollar GDP (thousands of current dollars) ,(NA),(NA),(NA),(NA),(NA),(NA),,Skagway-Hoonah-Angoon Census Area
Real GDP (thousands of chained 2017 dollars) ,647536,606180,553670,620950,672216,638767,Alaska,Southeast Fairbanks Census Area
Chain-type quantity indexes for real GDP ,100.000,93.613,85.504,95.894,103.811,98.646,Alaska,Southeast Fairbanks Census Area
Current-dollar GDP (thousands of current dollars) ,647536,624189,581023,660781,799141,847745,Alaska,Southeast Fairbanks Census Area
Real GDP (thousands of chained 2017 dollars) ,2138740,2122281,2086984,(NA),(NA),(NA),,Valdez-Cordova Census Area
Chain-type quantity indexes for real GDP ,100.000,99.230,97.580,(NA),(NA),(NA),,Valdez-Cordova Census Area
Current-dollar GDP (thousands of current dollars) ,2138740,2182658,2286440,(NA),(NA),(NA),,Valdez-Cordova Census Area
Real GDP (thousands of chained 2017 dollars) ,94295,98769,89410,83620,80970,83427,,Wrangell City and Borough
Chain-type quantity indexes for real GDP ,100.000,104.745,94.820,88.680,85.869,88.475,,Wrangell City and Borough
Current-dollar GDP (thousands of current dollars) ,94295,101069,93642,89511,90856,99194,,Wrangell City and Borough
Real GDP (thousands of chained 2017 dollars) ,(NA),(NA),(NA),(NA),(NA),(NA),,Wrangell-Petersburg Census Area
Chain-type quantity indexes for real GDP ,(NA),(NA),(NA),(NA),(NA),(NA),,Wrangell-Petersburg Census Area
Current-dollar GDP (thousands of current dollars) ,(NA),(NA),(NA),(NA),(NA),(NA),,Wrangell-Petersburg Census Area
Real GDP (thousands of chained 2017 dollars) ,27126,29304,31958,34027,38084,40204,,Yakutat City and Borough
Chain-type quantity indexes for real GDP ,100.000,108.026,117.810,125.439,140.394,148.210,,Yakutat City and Borough
Current-dollar GDP (thousands of current dollars) ,27126,29992,33569,36026,41713,46616,,Yakutat City and Borough
Real GDP (thousands of chained 2017 dollars) ,282318,301077,288294,278077,279889,283973,Alaska,Yukon-Koyukuk Census Area
Chain-type quantity indexes for real GDP ,100.000,106.645,102.117,98.498,99.140,100.586,Alaska,Yukon-Koyukuk Census Area
Current-dollar GDP (thousands of current dollars) ,282318,308186,307782,308490,321951,348668,Alaska,Yukon-Koyukuk Census Area
Real GDP (thousands of chained 2017 dollars) ,2640484,2672460,2399841,2332203,2344892,2231257,Arizona,Apache
Chain-type quantity indexes for real GDP ,100.000,101.211,90.886,88.325,88.805,84.502,Arizona,Apache
Current-dollar GDP (thousands of current dollars) ,2640484,2752407,2532312,2504909,2683962,2732412,Arizona,Apache
Real GDP (thousands of chained 2017 dollars) ,4585054,4589727,4693345,4987234,4878561,4855020,Arizona,Cochise
Chain-type quantity indexes for real GDP ,100.000,100.102,102.362,108.772,106.401,105.888,Arizona,Cochise
Current-dollar GDP (thousands of current dollars) ,4585054,4703080,4906584,5341327,5417470,5697691,Arizona,Cochise
Real GDP (thousands of chained 2017 dollars) ,7898455,7901190,7675239,6954326,7483588,7696628,Arizona,Coconino
Chain-type quantity indexes for real GDP ,100.000,100.035,97.174,88.047,94.747,97.445,Arizona,Coconino
Current-dollar GDP (thousands of current dollars) ,7898455,8077292,8047913,7473214,8329374,9080290,Arizona,Coconino
Real GDP (thousands of chained 2017 dollars) ,1690566,1655213,1646284,1726679,1853702,1799560,Arizona,Gila
Chain-type quantity indexes for real GDP ,100.000,97.909,97.381,102.136,109.650,106.447,Arizona,Gila
Current-dollar GDP (thousands of current dollars) ,1690566,1713503,1722225,1817798,2143978,2246148,Arizona,Gila
Real GDP (thousands of chained 2017 dollars) ,970128,993239,1045003,1189701,1360297,1248772,Arizona,Graham
Chain-type quantity indexes for real GDP ,100.000,102.382,107.718,122.633,140.218,128.722,Arizona,Graham
Current-dollar GDP (thousands of current dollars) ,970128,1020464,1094091,1272450,1608303,1633997,Arizona,Graham
Real GDP (thousands of chained 2017 dollars) ,1405891,1318779,1305215,1543251,1911407,1600809,Arizona,Greenlee
Chain-type quantity indexes for real GDP ,100.000,93.804,92.839,109.770,135.957,113.864,Arizona,Greenlee
Current-dollar GDP (thousands of current dollars) ,1405891,1362416,1361663,1611320,2337272,2256181,Arizona,Greenlee
Real GDP (thousands of chained 2017 dollars) ,664070,665028,692747,679656,740315,676852,Arizona,La Paz
Chain-type quantity indexes for real GDP ,100.000,100.144,104.318,102.347,111.481,101.925,Arizona,La Paz
Current-dollar GDP (thousands of current dollars) ,664070,679289,722130,725599,838771,824716,Arizona,La Paz
Real GDP (thousands of chained 2017 dollars) ,237581202,248468203,260460624,263448936,286493701,298240414,Arizona,Maricopa
Chain-type quantity indexes for real GDP ,100.000,104.582,109.630,110.888,120.588,125.532,Arizona,Maricopa
Current-dollar GDP (thousands of current dollars) ,237581202,253570040,271910024,280445536,315696835,350168218,Arizona,Maricopa
Real GDP (thousands of chained 2017 dollars) ,5323399,5437354,5639351,5773611,6269010,6257347,Arizona,Mohave
Chain-type quantity indexes for real GDP ,100.000,102.141,105.935,108.457,117.763,117.544,Arizona,Mohave
Current-dollar GDP (thousands of current dollars) ,5323399,5569874,5920971,6206244,7135173,7714869,Arizona,Mohave
Real GDP (thousands of chained 2017 dollars) ,2901492,3038306,2824979,2759998,2817394,2804006,Arizona,Navajo
Chain-type quantity indexes for real GDP ,100.000,104.715,97.363,95.123,97.102,96.640,Arizona,Navajo
Current-dollar GDP (thousands of current dollars) ,2901492,3117312,2969250,2983630,3202808,3395904,Arizona,Navajo
Real GDP (thousands of chained 2017 dollars) ,42330595,43891349,45085532,44978084,47065575,47959709,Arizona,Pima
Chain-type quantity indexes for real GDP ,100.000,103.687,106.508,106.254,111.186,113.298,Arizona,Pima
Current-dollar GDP (thousands of current dollars) ,42330595,44785905,47039546,48111914,51827743,55799638,Arizona,Pima
Real GDP (thousands of chained 2017 dollars) ,8486830,8942159,9139130,9345582,9849538,9982112,Arizona,Pinal
Chain-type quantity indexes for real GDP ,100.000,105.365,107.686,110.119,116.057,117.619,Arizona,Pinal
Current-dollar GDP (thousands of current dollars) ,8486830,9153348,9528947,9920684,11055030,11918297,Arizona,Pinal
Real GDP (thousands of chained 2017 dollars) ,1848358,1958916,1914159,1934498,2013502,2022514,Arizona,Santa Cruz
Chain-type quantity indexes for real GDP ,100.000,105.981,103.560,104.660,108.935,109.422,Arizona,Santa Cruz
Current-dollar GDP (thousands of current dollars) ,1848358,2010864,2026242,2083438,2292063,2505106,Arizona,Santa Cruz
Real GDP (thousands of chained 2017 dollars) ,7229041,7345912,7388378,7450732,8087008,8092110,Arizona,Yavapai
Chain-type quantity indexes for real GDP ,100.000,101.617,102.204,103.067,111.868,111.939,Arizona,Yavapai
Current-dollar GDP (thousands of current dollars) ,7229041,7525710,7762918,8024791,9118525,9797212,Arizona,Yavapai
Real GDP (thousands of chained 2017 dollars) ,7543432,7522243,7747758,7516153,7658882,8137550,Arizona,Yuma
Chain-type quantity indexes for real GDP ,100.000,99.719,102.709,99.638,101.530,107.876,Arizona,Yuma
Current-dollar GDP (thousands of current dollars) ,7543432,7629476,8000172,7920696,8592508,9883018,Arizona,Yuma
Real GDP (thousands of chained 2017 dollars) ,981778,1024089,1028801,1050529,1155743,1036351,Arkansas,Arkansas
Chain-type quantity indexes for real GDP ,100.000,104.310,104.790,107.003,117.719,105.559,Arkansas,Arkansas
Current-dollar GDP (thousands of current dollars) ,981778,1032654,1066376,1115307,1300261,1271852,Arkansas,Arkansas
Real GDP (thousands of chained 2017 dollars) ,792416,828770,782866,735400,724262,728373,Arkansas,Ashley
Chain-type quantity indexes for real GDP ,100.000,104.588,98.795,92.805,91.399,91.918,Arkansas,Ashley
Current-dollar GDP (thousands of current dollars) ,792416,847134,809779,766073,827578,927001,Arkansas,Ashley
Real GDP (thousands of chained 2017 dollars) ,1389921,1512252,1583090,1546043,1592306,1628561,Arkansas,Baxter
Chain-type quantity indexes for real GDP ,100.000,108.801,113.898,111.232,114.561,117.169,Arkansas,Baxter
Current-dollar GDP (thousands of current dollars) ,1389921,1539567,1658197,1663035,1752310,1954421,Arkansas,Baxter
Real GDP (thousands of chained 2017 dollars) ,14670030,15166232,15663064,16479460,17989743,18675011,Arkansas,Benton
Chain-type quantity indexes for real GDP ,100.000,103.382,106.769,112.334,122.629,127.300,Arkansas,Benton
Current-dollar GDP (thousands of current dollars) ,14670030,15365798,16159522,17170036,19373621,21474621,Arkansas,Benton
Real GDP (thousands of chained 2017 dollars) ,1291432,1309651,1305222,1298899,1400918,1412493,Arkansas,Boone
Chain-type quantity indexes for real GDP ,100.000,101.411,101.068,100.578,108.478,109.374,Arkansas,Boone
Current-dollar GDP (thousands of current dollars) ,1291432,1353987,1368657,1380083,1608286,1749621,Arkansas,Boone
Real GDP (thousands of chained 2017 dollars) ,330093,347363,332138,327574,341078,334315,Arkansas,Bradley
Chain-type quantity indexes for real GDP ,100.000,105.232,100.619,99.237,103.328,101.279,Arkansas,Bradley
Current-dollar GDP (thousands of current dollars) ,330093,358227,346912,357578,420421,442098,Arkansas,Bradley
Real GDP (thousands of chained 2017 dollars) ,337969,335913,320328,342036,370506,339866,Arkansas,Calhoun
Chain-type quantity indexes for real GDP ,100.000,99.392,94.780,101.203,109.627,100.561,Arkansas,Calhoun
Current-dollar GDP (thousands of current dollars) ,337969,340369,334115,365201,394126,399896,Arkansas,Calhoun
Real GDP (thousands of chained 2017 dollars) ,832740,847359,840073,809833,907829,968041,Arkansas,Carroll
Chain-type quantity indexes for real GDP ,100.000,101.755,100.881,97.249,109.017,116.248,Arkansas,Carroll
Current-dollar GDP (thousands of current dollars) ,832740,859304,875822,870116,1011734,1156249,Arkansas,Carroll
Real GDP (thousands of chained 2017 dollars) ,268710,263939,264364,270734,299503,245185,Arkansas,Chicot
Chain-type quantity indexes for real GDP ,100.000,98.225,98.383,100.753,111.459,91.245,Arkansas,Chicot
Current-dollar GDP (thousands of current dollars) ,268710,268517,274501,287281,353033,324527,Arkansas,Chicot
Real GDP (thousands of chained 2017 dollars) ,778588,805758,788071,775859,778894,751849,Arkansas,Clark
Chain-type quantity indexes for real GDP ,100.000,103.490,101.218,99.650,100.039,96.566,Arkansas,Clark
Current-dollar GDP (thousands of current dollars) ,778588,839427,827047,840083,934676,973027,Arkansas,Clark
Real GDP (thousands of chained 2017 dollars) ,343738,339596,322000,331722,375143,349451,Arkansas,Clay
Chain-type quantity indexes for real GDP ,100.000,98.795,93.676,96.504,109.136,101.662,Arkansas,Clay
Current-dollar GDP (thousands of current dollars) ,343738,346214,337255,355958,438743,454189,Arkansas,Clay
Real GDP (thousands of chained 2017 dollars) ,625173,608603,631687,605776,631337,622875,Arkansas,Cleburne
Chain-type quantity indexes for real GDP ,100.000,97.350,101.042,96.897,100.986,99.632,Arkansas,Cleburne
Current-dollar GDP (thousands of current dollars) ,625173,630635,658870,634507,713955,781118,Arkansas,Cleburne
Real GDP (thousands of chained 2017 dollars) ,132301,148140,118006,115656,126726,151474,Arkansas,Cleveland
Chain-type quantity indexes for real GDP ,100.000,111.972,89.195,87.419,95.786,114.491,Arkansas,Cleveland
Current-dollar GDP (thousands of current dollars) ,132301,148757,119620,120050,151938,213825,Arkansas,Cleveland
Real GDP (thousands of chained 2017 dollars) ,866831,911057,887388,871509,951637,981839,Arkansas,Columbia
Chain-type quantity indexes for real GDP ,100.000,105.102,102.372,100.540,109.784,113.268,Arkansas,Columbia
Current-dollar GDP (thousands of current dollars) ,866831,944675,920982,908009,1112250,1251539,Arkansas,Columbia
Real GDP (thousands of chained 2017 dollars) ,696477,688985,672040,675109,738316,746263,Arkansas,Conway
Chain-type quantity indexes for real GDP ,100.000,98.924,96.491,96.932,106.007,107.148,Arkansas,Conway
Current-dollar GDP (thousands of current dollars) ,696477,711610,695960,703244,848727,982615,Arkansas,Conway
Real GDP (thousands of chained 2017 dollars) ,4517827,4669304,4834967,4877701,5322808,5245632,Arkansas,Craighead
Chain-type quantity indexes for real GDP ,100.000,103.353,107.020,107.966,117.818,116.110,Arkansas,Craighead
Current-dollar GDP (thousands of current dollars) ,4517827,4761145,5064002,5250802,5970244,6307054,Arkansas,Craighead
Real GDP (thousands of chained 2017 dollars) ,1695496,1702649,1693406,1686363,1732582,1749952,Arkansas,Crawford
Chain-type quantity indexes for real GDP ,100.000,100.422,99.877,99.461,102.187,103.212,Arkansas,Crawford
Current-dollar GDP (thousands of current dollars) ,1695496,1742622,1789153,1837735,1966356,2148445,Arkansas,Crawford
Real GDP (thousands of chained 2017 dollars) ,1752818,1767222,1787273,1743160,1740640,1671569,Arkansas,Crittenden
Chain-type quantity indexes for real GDP ,100.000,100.822,101.966,99.449,99.305,95.365,Arkansas,Crittenden
Current-dollar GDP (thousands of current dollars) ,1752818,1822847,1875493,1843854,1979296,2127359,Arkansas,Crittenden
Real GDP (thousands of chained 2017 dollars) ,458347,429428,433142,447939,452087,419117,Arkansas,Cross
Chain-type quantity indexes for real GDP ,100.000,93.691,94.501,97.729,98.634,91.441,Arkansas,Cross
Current-dollar GDP (thousands of current dollars) ,458347,440236,451978,474502,523575,525842,Arkansas,Cross
Real GDP (thousands of chained 2017 dollars) ,230865,227705,219458,243257,252005,238227,Arkansas,Dallas
Chain-type quantity indexes for real GDP ,100.000,98.631,95.059,105.368,109.157,103.189,Arkansas,Dallas
