Description,2017,2018,2019,2020,2021,2022,state,county
Current-dollar GDP (thousands of current dollars) ,2810764,2721015,2813924,2758055,2987535,3332909,Alaska,Kenai Peninsula Borough
Real GDP (thousands of chained 2017 dollars) ,924927,927376,950776,803682,825532,843173,,Ketchikan Gateway Borough
Chain-type quantity indexes for real GDP ,100.000,100.265,102.795,86.891,89.254,91.161,,Ketchikan Gateway Borough
Current-dollar GDP (thousands of current dollars) ,924927,949261,1000527,859891,924119,1014783,,Ketchikan Gateway Borough
Real GDP (thousands of chained 2017 dollars) ,820003,803315,804093,775101,764250,788771,Alaska,Kodiak Island Borough
Chain-type quantity indexes for real GDP ,100.000,97.965,98.060,94.524,93.201,96.191,Alaska,Kodiak Island Borough
Current-dollar GDP (thousands of current dollars) ,820003,819182,840858,828142,846713,921621,Alaska,Kodiak Island Borough
Real GDP (thousands of chained 2017 dollars) ,153416,159498,158022,149082,145259,148131,,Kusilvak Census Area
Chain-type quantity indexes for real GDP ,100.000,103.964,103.002,97.175,94.683,96.555,,Kusilvak Census Area
Current-dollar GDP (thousands of current dollars) ,153416,162817,165236,162731,163934,172739,,Kusilvak Census Area
Real GDP (thousands of chained 2017 dollars) ,90141,99979,87381,79825,107055,86097,Alaska,Lake and Peninsula Borough
Chain-type quantity indexes for real GDP ,100.000,110.915,96.938,88.556,118.764,95.514,Alaska,Lake and Peninsula Borough
Current-dollar GDP (thousands of current dollars) ,90141,102181,91989,84100,115698,100394,Alaska,Lake and Peninsula Borough
Real GDP (thousands of chained 2017 dollars) ,2647075,2710247,2878441,2962159,3059715,3149033,Alaska,Matanuska-Susitna Borough
Chain-type quantity indexes for real GDP ,100.000,102.386,108.740,111.903,115.589,118.963,Alaska,Matanuska-Susitna Borough
Current-dollar GDP (thousands of current dollars) ,2647075,2769885,3016996,3198104,3435258,3760716,Alaska,Matanuska-Susitna Borough
Real GDP (thousands of chained 2017 dollars) ,447593,453641,445445,426177,429753,455576,Alaska,Nome Census Area
